ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-01-06 00:00:00,1,12892,36,3,2.97,108.00,"[(G4, 14783, 108.00),(B6, 12478, 79.00),(NK, 13930, 66.00)]"
2025-01-06 00:00:00,2,10721,31,2,0.03,81.00,"[(DL, 12953, 81.00),(DL, 13487, 32.00)]"
2025-01-06 00:00:00,3,12889,33,2,1.70,68.00,"[(UA, 12266, 68.00),(NK, 12339, 55.00)]"
2025-01-07 06:00:00,1,11292,269,106,35.82,294.00,"[(OO, 12012, 294.00),(WN, 13232, 204.00),(OO, 15041, 202.00),(UA, 14908, 202.00),(OO, 11775, 199.00),(UA, 10821, 198.00),(UA, 11413, 197.00),(OO, 11413, 195.00),(UA, 13930, 158.00),(WN, 13198, 158.00),(OO, 13851, 152.00),(OO, 11996, 142.00),(OO, 10599, 134.00),(OO, 12003, 131.00),(OO, 16869, 129.00),(OO, 11122, 127.00),(OO, 10372, 123.00),(OO, 14543, 122.00),(UA, 11540, 121.00),(OO, 11122, 115.00)]"
2025-01-07 06:00:00,2,11278,101,34,34.98,317.00,"[(AA, 14107, 317.00),(OH, 10397, 216.00),(OH, 15096, 199.00),(OH, 14576, 159.00),(YX, 10721, 147.00),(AA, 14107, 146.00),(OH, 10529, 128.00),(OH, 11433, 126.00),(OH, 11066, 119.00),(OH, 14685, 117.00),(OH, 11042, 82.00),(MQ, 14635, 80.00),(OH, 11996, 80.00),(YX, 12478, 72.00),(YX, 14307, 70.00),(AA, 13204, 70.00),(YX, 12478, 63.00),(MQ, 14492, 61.00),(AA, 11057, 61.00),(WN, 10397, 60.00)]"
2025-01-07 06:00:00,3,11298,251,29,7.94,184.00,"[(AA, 14107, 184.00),(DL, 10397, 141.00),(AA, 13303, 120.00),(NK, 11618, 118.00),(MQ, 12217, 110.00),(AA, 13871, 95.00),(AA, 11057, 87.00),(AA, 10721, 85.00),(AA, 14635, 76.00),(AA, 14492, 73.00),(AA, 14057, 69.00),(OH, 11423, 60.00),(MQ, 12945, 59.00),(AA, 12173, 56.00),(AA, 10721, 55.00),(AA, 11638, 54.00),(AA, 12892, 52.00),(OO, 14588, 51.00),(UA, 11292, 51.00),(AA, 12953, 47.00)]"
2025-01-07 06:00:00,4,10397,254,29,11.70,365.00,"[(OH, 11278, 365.00),(OO, 11823, 317.00),(OO, 11641, 270.00),(DL, 10693, 165.00),(B6, 12478, 152.00),(NK, 11697, 121.00),(DL, 14747, 80.00),(DL, 11193, 73.00),(F9, 12953, 67.00),(DL, 12448, 60.00),(UA, 12264, 59.00),(DL, 12892, 56.00),(F9, 12889, 55.00),(DL, 10721, 54.00),(DL, 13303, 53.00),(DL, 11697, 49.00),(NK, 13495, 48.00),(DL, 14771, 46.00),(WN, 11259, 46.00),(UA, 11618, 45.00)]"
2025-01-07 06:00:00,5,13930,241,26,7.59,169.00,"[(OO, 15041, 169.00),(UA, 11042, 160.00),(MQ, 12278, 123.00),(OO, 10431, 119.00),(DL, 12953, 108.00),(UA, 10397, 107.00),(OO, 11109, 96.00),(YX, 12478, 96.00),(WN, 10821, 90.00),(OO, 14122, 77.00),(OO, 13931, 75.00),(UA, 11042, 71.00),(MQ, 11067, 63.00),(OO, 14108, 59.00),(OO, 12478, 53.00),(OO, 15016, 48.00),(AA, 11057, 43.00),(OO, 12953, 39.00),(UA, 14683, 39.00),(AS, 14747, 39.00)]"
2025-01-07 06:00:00,6,10821,49,22,37.41,180.00,"[(WN, 10423, 180.00),(WN, 13303, 131.00),(WN, 13204, 119.00),(WN, 12191, 118.00),(WN, 11697, 99.00),(WN, 11066, 80.00),(WN, 14321, 76.00),(WN, 11986, 69.00),(WN, 14492, 60.00),(WN, 10140, 60.00),(WN, 14524, 60.00),(WN, 14107, 59.00),(WN, 11292, 57.00),(WN, 12889, 57.00),(WN, 15304, 56.00),(WN, 14869, 53.00),(WN, 13198, 53.00),(WN, 10257, 46.00),(WN, 11042, 44.00),(WN, 10423, 41.00)]"
2025-01-07 06:00:00,7,12953,140,22,17.54,837.00,"[(AA, 11298, 837.00),(B6, 11697, 214.00),(DL, 10397, 184.00),(YX, 13244, 166.00),(B6, 14027, 134.00),(WN, 10693, 102.00),(YX, 10721, 95.00),(YX, 14122, 93.00),(YX, 14730, 71.00),(YX, 11996, 67.00),(WN, 11259, 57.00),(F9, 10397, 52.00),(WN, 13198, 51.00),(DL, 11298, 51.00),(DL, 10397, 45.00),(DL, 13204, 43.00),(YX, 11624, 42.00),(NK, 11433, 42.00),(YX, 10721, 39.00),(B6, 10721, 36.00)]"
